YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 04 06 10  63 11.6 14.4  1.86  5.88  4.62 999 1003.6   1.3   1.3 999.0 99.0
1999 04 06 11  50 10.9 12.9  1.89  6.25  4.77 999 1002.4   1.3   1.2 999.0 99.0
1999 04 06 12  46  9.8 11.4  1.83  6.25  4.88 999 1001.5   1.3   1.2 999.0 99.0
1999 04 06 13  58  8.3  9.5  1.73  6.25  4.73 999 1001.2   1.6   1.2 999.0 99.0
1999 04 06 14  66  5.9  7.0  1.46  6.25  4.63 999 1000.9   1.6   1.3 999.0 99.0
1999 04 06 15 356  4.6  6.5  1.21  5.88  4.63 999 1001.2   1.7   1.3 999.0 99.0
1999 04 06 16 331  6.3  7.4  1.23  6.25  4.61 999 1002.1   1.3   1.3 999.0 99.0
1999 04 06 17 294  6.9  8.2  1.02  6.25  4.38 999 1002.7   1.6   1.3 999.0 99.0
1999 04 06 18 279  6.9  8.0   .93  5.88  4.14 999 1003.4   2.0   1.3 999.0 99.0
1999 04 06 19 269  7.6  8.9   .87  5.56  3.94 999 1004.7   2.3   1.3 999.0 99.0
1999 04 06 20 260  8.5 10.2   .96  3.33  3.75 999 1005.5   2.4   1.3 999.0 99.0
1999 04 06 21 265 10.1 12.0  1.12  4.00  3.84 999 1007.0   2.7   1.3 999.0 99.0
1999 04 06 22 259  9.2 11.1  1.20  4.35  4.04 999 1008.7   2.9   1.3 999.0 99.0
1999 04 06 23 263  9.3 10.6  1.23  4.55  4.01 999 1009.7   3.1   1.3 999.0 99.0
1999 04 07 00 267  8.5 10.3  1.09  4.76  3.91 999 1010.8   3.1   1.3 999.0 99.0
1999 04 07 01 248  6.5  7.6  1.04  4.35  3.96 999 1011.5   2.6   1.2 999.0 99.0
1999 04 07 02 237  6.4  7.5   .86  4.17  3.84 999 1012.7   2.4   1.2 999.0 99.0
1999 04 07 03 229  4.9  5.9   .74  4.17  3.67 999 1013.2   2.4    .9 999.0 99.0
1999 04 07 04 213  6.1  7.0   .68  4.00  3.71 999 1013.2   2.8    .9 999.0 99.0
1999 04 07 05 198  6.0  7.2   .63  3.85  3.54 999 1013.2   3.0    .8 999.0 99.0
1999 04 07 06 212  6.0  6.9   .57  4.00  3.42 999 1013.3   2.8    .8 999.0 99.0
1999 04 07 07 211  6.5  7.4   .56  3.57  3.28 999 1013.3   2.9    .8 999.0 99.0
1999 04 07 08 213  4.9  5.4   .50  3.33  3.26 999 1012.7   2.8    .8 999.0 99.0
1999 04 07 09 225  4.5  5.2   .50  3.57  3.31 999 1013.1   2.7    .9 999.0 99.0
1999 04 07 10 212  4.7  5.4   .51  3.57  3.32 999 1012.6   2.8    .9 999.0 99.0
1999 04 07 11 201  4.2  5.3   .55  3.45  3.38 999 1012.3   2.8    .9 999.0 99.0
1999 04 07 12 203  5.2  5.9   .62  3.85  3.43 999 1012.0   3.2    .9 999.0 99.0
1999 04 07 13 199  8.8 10.6   .62  3.70  3.31 999 1012.3   4.0    .9 999.0 99.0
1999 04 07 14 159  3.3  4.2   .53  3.45  3.28 999 1010.8   2.9    .9 999.0 99.0
1999 04 07 15 167  4.2  5.2   .48  3.33  3.27 999 1009.3   3.2    .9 999.0 99.0
1999 04 07 16 150  5.7  6.9   .50  3.45  3.26 999 1007.9   3.3    .9 999.0 99.0
1999 04 07 17 194  3.6  4.3   .45  3.23  3.18 999 1007.8   3.1    .9 999.0 99.0
1999 04 07 18 202  4.9  5.5   .45  3.12  3.08 999 1006.3   3.2    .9 999.0 99.0
1999 04 07 19 247  2.9  3.4   .41  3.33  3.12 999 1006.6   2.7    .9 999.0 99.0
1999 04 07 20 293  1.3  1.7   .32  3.23  3.06 999 1006.2   2.8    .9 999.0 99.0
1999 04 07 21 241  1.6  2.0   .25  2.94  2.97 999 1006.7   2.8   1.0 999.0 99.0
1999 04 07 22 209  2.7  3.1   .19  2.94  2.93 999 1006.6   2.5    .9 999.0 99.0
1999 04 07 23 232  4.9  5.5   .16  2.63  2.99 999 1007.0   3.1    .9 999.0 99.0
1999 04 08 00 234  7.0  8.3   .16  2.56  2.85 999 1006.6   5.5   1.0 999.0 99.0
1999 04 08 01 234  3.0  3.7   .27  2.70  2.87 999 1006.8   4.0   1.2 999.0 99.0
1999 04 08 02 227  4.0  4.7   .15  2.63  2.92 999 1007.5   4.0   1.2 999.0 99.0
1999 04 08 03 226  5.0  6.2   .00   .00   .00 999 1007.7   4.5   1.2 999.0 99.0
1999 04 08 04 234  5.3  5.9   .15  2.50  2.82 999 1008.4   3.4   1.2 999.0 99.0
1999 04 08 05 249  6.6  7.7   .19  2.50  2.79 999 1009.1   3.3   1.2 999.0 99.0
1999 04 08 06 265  6.2  6.9   .34  2.78  2.81 999 1010.1   4.0   1.2 999.0 99.0
1999 04 08 07 282  5.2  5.8   .41  3.03  2.88 999 1011.4   3.5   1.2 999.0 99.0
1999 04 08 08 303  5.9  6.3   .46  3.03  3.04 999 1012.3   3.6   1.2 999.0 99.0
1999 04 08 09 302  4.7  5.0   .39  3.23  3.10 999 1013.3   3.5   1.2 999.0 99.0
1999 04 08 10 286  2.3  5.1   .37  3.33  3.13 999 1013.4   3.6   1.2 999.0 99.0
1999 04 08 11 306  4.4  5.1   .38  3.23  3.12 999 1014.0   4.8    .9 999.0 99.0
1999 04 08 12 360  2.4  3.3   .30  3.23  3.09 999 1014.0   4.0    .8 999.0 99.0
1999 04 08 13 126  1.3  1.7   .27  3.23  3.05 999 1014.1   4.4    .8 999.0 99.0
1999 04 08 14 204  1.0  1.4   .21  3.03  3.03 999 1015.4   4.8    .9 999.0 99.0
1999 04 08 15 211  2.7  3.8   .22  3.12  3.01 999 1015.7   2.8    .9 999.0 99.0
1999 04 08 16 138  1.0  1.9   .17  3.03  3.05 999 1015.4   4.0    .9 999.0 99.0
1999 04 08 17 115  1.7  2.1   .00   .00   .00 999 1014.9   4.0    .9 999.0 99.0
1999 04 08 18 207  1.7  2.0   .00   .00   .00 999 1015.7   3.6   1.2 999.0 99.0
