YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 04 14 00  92  5.4  6.0  0.00  0.00  0.00 999 1014.5   5.1   2.0 999.0 99.0 99.00
2002 04 14 01  95  5.0  5.6  0.00  0.00  0.00 999 1014.0   4.6   2.0 999.0 99.0 99.00
2002 04 14 02  99  4.8  5.2  0.00  0.00  0.00 999 1013.1   4.6   1.9 999.0 99.0 99.00
2002 04 14 03 124  4.4  4.8  0.00  0.00  0.00 999 1012.5   4.6   1.9 999.0 99.0 99.00
2002 04 14 04 142  4.6  4.9  0.00  0.00  0.00 999 1011.7   5.2   1.9 999.0 99.0 99.00
2002 04 14 05 163  6.0  8.1  0.00  0.00  0.00 999 1011.1   5.9   1.9 999.0 99.0 99.00
2002 04 14 06 186  5.5  6.3  0.18  2.56  2.77 999 1010.7   5.2   1.9 999.0 99.0 99.00
2002 04 14 07 161  4.4  4.9  0.28  2.63  2.74 999 1009.7   5.0   1.9 999.0 99.0 99.00
2002 04 14 08 141  6.4  7.0  0.32  2.78  2.80 999 1008.5   5.4   1.9 999.0 99.0 99.00
2002 04 14 09 138  6.7  8.0  0.40  2.78  2.85 999 1007.0   5.3   1.9 999.0 99.0 99.00
2002 04 14 10 136  6.5  7.4  0.56  3.57  3.18 999 1005.8   5.0   1.9 999.0 99.0 99.00
2002 04 14 11 140  5.9  6.6  0.50  3.23  3.22 999 1004.9   4.6   1.9 999.0 99.0 99.00
2002 04 14 12 145  5.3  6.0  0.45  3.33  3.27 999 1004.2   4.5   1.9 999.0 99.0 99.00
2002 04 14 13 141  5.0  5.5  0.36  3.33  3.18 999 1003.3   4.8   1.9 999.0 99.0 99.00
2002 04 14 14 136  4.7  5.2  0.37  3.23  3.30 999 1002.0   5.0   1.9 999.0 99.0 99.00
2002 04 14 15 168  4.3  4.8  0.39  3.03  3.27 999 1001.7   4.9   1.9 999.0 99.0 99.00
2002 04 14 16 164  3.8  4.2  0.46  3.70  3.42 999 1001.3   4.8   1.9 999.0 99.0 99.00
2002 04 14 17 129  4.5  4.9  0.46  4.00  3.48 999 1000.2   4.2   1.9 999.0 99.0 99.00
2002 04 14 18 240  1.2  3.7  0.42  3.85  3.31 999  999.6   5.3   2.0 999.0 99.0 99.00
2002 04 14 19 187  0.4  0.9  0.36  3.45  3.31 999  999.0   7.0   2.0 999.0 99.0 99.00
2002 04 14 20 160  1.3  1.4  0.37  3.57  3.25 999  998.0   6.6   2.0 999.0 99.0 99.00
2002 04 14 21 100  2.2  2.8  0.38  3.70  3.35 999  998.1   4.9   2.0 999.0 99.0 99.00
2002 04 14 22 140  1.9  2.4  0.36  3.70  3.30 999  998.0   5.7   2.0 999.0 99.0 99.00
2002 04 14 23 161  2.7  3.2  0.31  3.70  3.28 999  997.9   7.5   2.0 999.0 99.0 99.00
2002 04 15 00 161  3.7  4.2  0.25  2.70  3.18 999  997.6   6.3   2.0 999.0 99.0 99.00
2002 04 15 01 172  3.8  4.7  0.30  3.70  3.31 999  997.9   5.8   2.0 999.0 99.0 99.00
2002 04 15 02 176  5.8  6.4  0.41  3.57  3.21 999  998.0   7.5   2.0 999.0 99.0 99.00
2002 04 15 03 246  4.2  6.0  0.43  3.57  3.26 999  998.5   6.4   1.9 999.0 99.0 99.00
2002 04 15 04 247  2.0  2.4  0.39  3.85  3.26 999  999.4   5.3   1.9 999.0 99.0 99.00
2002 04 15 05 241  0.7  1.3  0.35  3.45  3.24 999 1000.0   4.3   1.8 999.0 99.0 99.00
2002 04 15 06 285  1.1  1.3  0.30  3.45  3.33 999 1000.3   4.8   1.8 999.0 99.0 99.00
2002 04 15 07 309  3.6  4.2  0.28  3.33  3.41 999 1001.3   3.1   1.8 999.0 99.0 99.00
2002 04 15 08  41  2.4  3.5  0.29  3.23  3.71 999 1002.4   2.8   1.8 999.0 99.0 99.00
2002 04 15 09  43  2.7  3.1  0.28  5.56  3.90 999 1002.8   2.5   1.7 999.0 99.0 99.00
2002 04 15 10  46  2.5  2.9  0.30  5.56  4.17 999 1003.4   2.5   1.7 999.0 99.0 99.00
2002 04 15 11  54  2.1  2.8  0.29  5.56  4.13 999 1004.2   2.9   1.7 999.0 99.0 99.00
