YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 19 03 00  21  3.2  3.7  0.00  0.00  0.00 999 1010.3   3.2   1.8 999.0 99.0 99.00
2005 04 19 04 00 124  1.7  1.9  0.00  0.00  0.00 999 1010.2   3.6   1.8 999.0 99.0 99.00
2005 04 19 05 00 200  2.5  3.1  0.00  0.00  0.00 999 1009.8   3.9   1.8 999.0 99.0 99.00
2005 04 19 06 00 202  4.4  4.6  0.00  0.00  0.00 999 1009.4   5.6   1.7 999.0 99.0 99.00
2005 04 19 07 00 261  2.4  3.2  0.18  4.35  3.59 999 1009.5   4.8   1.7 999.0 99.0 99.00
2005 04 19 08 00 318  1.5  2.2  0.19  2.94  3.24 999 1009.8   5.2   1.7 999.0 99.0 99.00
2005 04 19 09 00  29  0.7  1.7  0.20  4.00  3.29 999 1009.8   4.0   1.6 999.0 99.0 99.00
2005 04 19 10 00  31  2.1  2.6  0.19  2.94  3.32 999 1010.2   3.5   1.6 999.0 99.0 99.00
2005 04 19 11 00 119  1.2  1.5  0.19  4.35  3.45 999 1010.2   4.9   1.6 999.0 99.0 99.00
2005 04 19 12 00 149  2.5  3.2  0.18  4.00  3.59 999 1010.1   8.4   1.7 999.0 99.0 99.00
2005 04 19 13 00 193  2.9  4.7  0.18  4.00  3.59 999 1010.4  10.5   1.7 999.0 99.0 99.00
2005 04 19 14 00 171  1.0  1.9  0.18  4.35  3.90 999 1010.7   5.7   1.8 999.0 99.0 99.00
2005 04 19 15 00 309  3.7 12.5  0.16  4.35  3.92 999 1011.2   7.4   1.9 999.0 99.0 99.00
2005 04 19 16 00 191  4.1  5.0  0.20  4.00  3.88 999 1011.2   7.9   1.9 999.0 99.0 99.00
2005 04 19 17 00 247  5.4  6.0  0.00  0.00  0.00 999 1011.4   5.7   1.9 999.0 99.0 99.00
2005 04 19 18 00 274  5.5  9.0  0.15  4.17  3.63 999 1009.7  10.9   1.8 999.0 99.0 99.00
2005 04 19 19 00 130  1.9  4.0  0.33  2.78  2.83 999 1009.2  12.2   1.9 999.0 99.0 99.00
2005 04 19 20 00 318  4.0  4.9  0.21  2.94  3.05 999 1010.5   5.8   1.9 999.0 99.0 99.00
2005 04 19 21 00 291  0.7  1.2  0.00  0.00  0.00 999 1010.1   6.9   1.9 999.0 99.0 99.00
2005 04 19 22 00  63  4.2  5.5  0.00  0.00  0.00 999 1010.4   5.2   1.9 999.0 99.0 99.00
2005 04 19 23 00 139  3.5  4.4  0.00  0.00  0.00 999 1011.4   4.9   1.9 999.0 99.0 99.00
2005 04 20 00 00  55  5.4  6.3  0.00  0.00  0.00 999 1012.0   5.0   1.9 999.0 99.0 99.00
2005 04 20 01 00  71  5.9  6.7  0.00  0.00  0.00 999 1012.5   4.8   1.9 999.0 99.0 99.00
2005 04 20 02 00  57  8.3  9.7  0.26  2.63  2.73 999 1013.2   5.9   1.8 999.0 99.0 99.00
2005 04 20 03 00  64  9.9 11.1  0.61  3.13  3.07 999 1013.6   5.6   1.8 999.0 99.0 99.00
2005 04 20 04 00  60  7.9  9.2  0.72  3.57  3.37 999 1014.4   4.6   1.8 999.0 99.0 99.00
2005 04 20 05 00  66  6.8  7.6  0.65  3.70  3.40 999 1015.3   4.1   1.8 999.0 99.0 99.00
2005 04 20 06 00  40  7.8  9.1  0.67  3.45  3.46 999 1016.1   3.9   1.8 999.0 99.0 99.00
2005 04 20 07 00  33  8.8 10.6  0.79  4.17  3.56 999 1016.4   4.3   1.8 999.0 99.0 99.00
2005 04 20 08 00  34  9.4 10.9  0.99  4.00  3.64 999 1016.8   3.9   1.8 999.0 99.0 99.00
2005 04 20 09 00  37  9.5 11.0  1.09  4.35  3.90 999 1017.4   3.6   1.8 999.0 99.0 99.00
2005 04 20 10 00  42  8.9 10.3  1.17  4.55  3.95 999 1018.3   3.5   1.8 999.0 99.0 99.00
2005 04 20 11 00  45  9.2 10.8  1.16  4.35  3.94 999 1019.2   3.2   1.7 999.0 99.0 99.00
2005 04 20 12 00  58  6.4  7.4  0.90  4.55  3.88 999 1020.4   2.7   1.7 999.0 99.0 99.00
2005 04 20 13 00  56  6.6  7.9  0.92  4.35  3.91 999 1021.3   2.5   1.7 999.0 99.0 99.00
2005 04 20 14 00  60  8.8 10.8  1.07  4.17  4.04 999 1021.4   2.2   1.7 999.0 99.0 99.00
2005 04 20 15 00  40  8.5 11.0  1.36  5.00  4.26 999 1022.5   1.9   1.8 999.0 99.0 99.00
2005 04 20 16 00  50  7.5  8.4  1.40  5.88  4.42 999 1022.8   1.7   1.8 999.0 99.0 99.00
2005 04 20 17 00  60  7.6  9.2  1.35  5.88  4.56 999 1023.0   1.7   1.8 999.0 99.0 99.00
