YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 30 21 00 102  8.7 10.1  1.04  4.76  3.99 999 1022.9   7.1   2.7 999.0 99.0 99.00
2006 04 30 22 00 110  9.9 11.4  1.28  5.00  4.17 999 1022.1   8.0   2.7 999.0 99.0 99.00
2006 04 30 23 00 112 10.2 12.6  1.40  5.00  4.34 999 1021.8   8.5   2.7 999.0 99.0 99.00
2006 05 01 00 00 118 11.6 14.0  1.49  5.56  4.45 999 1021.6   9.4   2.7 999.0 99.0 99.00
2006 05 01 01 00 117  9.4 10.9  1.47  5.56  4.52 999 1022.0   7.7   2.7 999.0 99.0 99.00
2006 05 01 02 00 123  9.1 11.4  1.26  5.00  4.31 999 1022.6   7.7   2.7 999.0 99.0 99.00
2006 05 01 03 00 121  7.7  9.0  1.29  5.26  4.37 999 1022.8   7.0   2.7 999.0 99.0 99.00
2006 05 01 04 00 113  8.2  9.5  1.24  5.26  4.37 999 1022.6   6.4   2.7 999.0 99.0 99.00
2006 05 01 05 00 102  6.6  7.3  1.07  5.56  4.35 999 1022.6   5.8   2.7 999.0 99.0 99.00
2006 05 01 06 00 107  7.7  8.5  0.93  5.26  4.08 999 1022.3   6.0   2.7 999.0 99.0 99.00
2006 05 01 07 00 108  6.7  7.6  0.82  5.00  3.86 999 1022.1   5.6   2.7 999.0 99.0 99.00
2006 05 01 08 00 115  6.2  6.9  0.79  4.17  3.84 999 1021.9   5.4   2.7 999.0 99.0 99.00
2006 05 01 09 00 111  7.3  8.2  0.73  4.35  3.73 999 1021.6   5.3   2.7 999.0 99.0 99.00
2006 05 01 10 00 102  5.6  6.6  0.63  4.17  3.65 999 1021.6   4.9   2.6 999.0 99.0 99.00
2006 05 01 11 00 103  3.9  4.2  0.61  3.70  3.64 999 1022.0   4.8   2.7 999.0 99.0 99.00
2006 05 01 12 00 100  4.8  5.2  0.58  4.17  3.66 999 1021.9   4.5   2.7 999.0 99.0 99.00
2006 05 01 13 00  95  5.0  5.5  0.54  4.35  3.65 999 1021.9   4.6   2.7 999.0 99.0 99.00
2006 05 01 14 00  85  6.7  7.7  0.50  4.00  3.53 999 1021.1   4.9   2.7 999.0 99.0 99.00
2006 05 01 15 00  90  6.4  7.2  0.55  4.17  3.39 999 1021.4   5.3   2.7 999.0 99.0 99.00
2006 05 01 16 00  94  7.4  8.9  0.61  4.00  3.53 999 1021.0   5.0   2.7 999.0 99.0 99.00
2006 05 01 17 00 114  8.3  9.4  0.71  4.17  3.59 999 1020.5   5.6   2.7 999.0 99.0 99.00
2006 05 01 18 00 110  8.7  9.9  0.92  4.35  3.82 999 1019.8   6.5   2.7 999.0 99.0 99.00
2006 05 01 19 00 126  5.9  6.7  0.80  4.55  3.86 999 1020.1   5.9   2.7 999.0 99.0 99.00
2006 05 01 20 00 123  6.2  7.3  0.92  4.55  3.92 999 1020.1   6.2   2.7 999.0 99.0 99.00
2006 05 01 21 00 122  5.7  6.5  0.85  4.76  4.10 999 1019.9   6.2   2.7 999.0 99.0 99.00
2006 05 01 22 00 126  4.1  4.5  0.71  5.00  4.04 999 1019.9   5.6   2.7 999.0 99.0 99.00
2006 05 01 23 00 136  3.5  4.2  0.61  5.00  3.98 999 1019.6   5.6   2.7 999.0 99.0 99.00
2006 05 02 00 00 122  4.7  5.1  0.54  4.76  3.74 999 1019.3   5.2   2.7 999.0 99.0 99.00
2006 05 02 01 00 120  6.0  7.1  0.50  4.55  3.70 999 1018.9   5.7   2.7 999.0 99.0 99.00
2006 05 02 02 00 129  6.3  6.9  0.52  4.55  3.57 999 1019.1   6.9   2.7 999.0 99.0 99.00
2006 05 02 03 00 128  6.7  7.9  0.61  4.35  3.67 999 1018.8   7.0   2.7 999.0 99.0 99.00
