#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 04 14 50  49  1.0  2.0  0.01 99.00  4.99 999 1027.6   7.9   6.3 999.0 99.0 99.00
2011 05 04 15 50  44  2.1  2.9 99.00 99.00 99.00 999 1027.2   6.3   7.0 999.0 99.0 99.00
2011 05 04 16 50  46  1.8  2.8 99.00 99.00 99.00 999 1026.8  10.5   8.0 999.0 99.0 99.00
2011 05 04 17 50  26  2.2  3.8  0.01 99.00  5.44 999 1025.9   9.3   8.7 999.0 99.0 99.00
2011 05 04 18 50  27  2.3  4.0  0.01 99.00  6.68 999 1024.6  10.8   9.9 999.0 99.0 99.00
2011 05 04 19 50 171  5.7  8.4 99.00 99.00 99.00 999 1023.5  15.8  11.8 999.0 99.0 99.00
2011 05 04 20 50 187  4.8  7.4 99.00 99.00 99.00 999 1022.8  16.4  13.4 999.0 99.0 99.00
2011 05 04 21 50 168  3.7 10.1 99.00 99.00 99.00 999 1022.2  16.4  14.2 999.0 99.0 99.00
2011 05 04 22 50 167  3.5  7.3  0.01 99.00  5.76 999 1022.0  16.1  14.7 999.0 99.0 99.00
2011 05 04 23 50  20  2.4  4.6 99.00 99.00 99.00 999 1022.3 999.0  12.3 999.0 99.0 99.00
2011 05 05 00 50  39  1.7  3.3 99.00 99.00 99.00 999 1022.0   7.5  11.4 999.0 99.0 99.00
2011 05 05 01 50  37  1.2  3.0 99.00 99.00 99.00 999 1022.2   7.1  10.5 999.0 99.0 99.00
2011 05 05 02 50  34  1.9  3.4  0.01 99.00  6.06 999 1022.4   6.9   9.9 999.0 99.0 99.00
2011 05 05 03 50  25  1.0  2.1 99.00 99.00 99.00 999 1022.1   5.8   9.2 999.0 99.0 99.00
2011 05 05 04 50  96  0.4  1.5  0.01 99.00  6.44 999 1021.7   5.3   8.6 999.0 99.0 99.00
2011 05 05 05 50 180  0.0  0.7  0.01 99.00  5.42 999 1021.5   6.2   8.5 999.0 99.0 99.00
2011 05 05 06 50  71  0.4  1.2 99.00 99.00 99.00 999 1020.8   5.7   8.2 999.0 99.0 99.00
2011 05 05 07 50  52  0.9  1.4 99.00 99.00 99.00 999 1020.2   5.6   7.8 999.0 99.0 99.00
2011 05 05 08 50  55  1.1  1.8  0.01 99.00  5.54 999 1019.6   5.6   7.7 999.0 99.0 99.00
2011 05 05 09 50   9  0.6  2.0 99.00 99.00 99.00 999 1019.1   5.3   7.4 999.0 99.0 99.00
2011 05 05 10 50  54  2.0  3.6  0.01 99.00  5.86 999 1018.2   5.5   7.2 999.0 99.0 99.00
2011 05 05 11 50 340  0.7  1.8 99.00 99.00 99.00 999 1017.4   4.6   7.0 999.0 99.0 99.00
2011 05 05 12 50 204  0.4  1.9  0.01 99.00  6.74 999 1016.7   4.4   6.7 999.0 99.0 99.00
2011 05 05 13 50  66  0.8  2.1 99.00 99.00 99.00 999 1016.5   4.3   6.4 999.0 99.0 99.00
2011 05 05 14 50  28  1.2  2.0 99.00 99.00 99.00 999 1015.7   4.9   6.1 999.0 99.0 99.00
2011 05 05 15 50  35  1.0  2.1  0.01 99.00  5.60 999 1014.7   4.8   6.1 999.0 99.0 99.00
2011 05 05 16 50  45  0.8  1.6  0.01 99.00  5.72 999 1014.3   5.0   6.2 999.0 99.0 99.00
2011 05 05 17 50  73  1.3  2.0 99.00 99.00 99.00 999 1013.7   4.6   6.3 999.0 99.0 99.00
2011 05 05 18 50  43  0.9  1.8 99.00 99.00 99.00 999 1013.4   4.2   6.2 999.0 99.0 99.00
2011 05 05 19 50  43  0.8  1.7 99.00 99.00 99.00 999 1013.0   4.1   6.1 999.0 99.0 99.00
2011 05 05 20 50  46  0.6  1.2 99.00 99.00 99.00 999 1012.6   4.1   6.2 999.0 99.0 99.00
2011 05 05 21 50  55  0.2  0.8 99.00 99.00 99.00 999 1012.4   4.8   6.3 999.0 99.0 99.00
2011 05 05 22 50  69  0.7  1.4 99.00 99.00 99.00 999 1012.1   5.7   6.7 999.0 99.0 99.00
2011 05 05 23 50  39  0.7  1.5 99.00 99.00 99.00 999 1011.8   4.4   6.7 999.0 99.0 99.00
2011 05 06 00 50 151  0.3  1.3 99.00 99.00 99.00 999 1011.4   7.2   7.1 999.0 99.0 99.00
2011 05 06 01 50  45  0.7  1.6 99.00 99.00 99.00 999 1011.5   5.2   6.9 999.0 99.0 99.00
2011 05 06 02 50 180  0.0  0.0 99.00 99.00 99.00 999 1011.6   5.0   6.6 999.0 99.0 99.00
2011 05 06 03 50 237  1.4  2.5 99.00 99.00 99.00 999 1011.3   8.4   6.8 999.0 99.0 99.00
2011 05 06 04 50 242  2.3  3.0 99.00 99.00 99.00 999 1010.8   8.1   7.1 999.0 99.0 99.00
2011 05 06 05 50 225  2.3  4.6 99.00 99.00 99.00 999 1010.6   7.7   7.2 999.0 99.0 99.00
2011 05 06 06 50 218  1.0  2.7 99.00 99.00 99.00 999 1010.2   7.4   7.1 999.0 99.0 99.00
2011 05 06 07 50 206  1.0  2.8 99.00 99.00 99.00 999 1009.8   7.4   7.0 999.0 99.0 99.00
2011 05 06 08 50 285  3.4  4.9  0.01 99.00  6.27 999 1009.5   8.4   7.2 999.0 99.0 99.00
2011 05 06 09 50 286  5.7  7.6 99.00 99.00 99.00 999 1009.7   8.4   7.5 999.0 99.0 99.00
2011 05 06 10 50 307  5.4  7.3 99.00 99.00 99.00 999 1009.8   8.5   7.7 999.0 99.0 99.00
2011 05 06 11 50 306  5.0  7.2  0.01 99.00  6.09 999 1009.9   8.3   7.7 999.0 99.0 99.00
2011 05 06 12 50 306  4.3  6.1 99.00 99.00 99.00 999 1009.7   9.5   8.1 999.0 99.0 99.00
2011 05 06 13 50 311  3.7  6.3 99.00 99.00 99.00 999 1009.6  11.5   9.3 999.0 99.0 99.00
2011 05 06 14 50 333  3.3  5.5 99.00 99.00 99.00 999 1009.6  12.9  10.3 999.0 99.0 99.00
2011 05 06 15 50  70  0.7  2.5 99.00 99.00 99.00 999 1009.5  14.8  11.0 999.0 99.0 99.00
2011 05 06 16 50 348  2.4  4.8 99.00 99.00 99.00 999 1009.3  15.8  12.6 999.0 99.0 99.00
2011 05 06 17 50 356  2.3  4.5 99.00 99.00 99.00 999 1008.9  16.2  13.5 999.0 99.0 99.00
2011 05 06 18 50  98  2.8  5.4  0.01 99.00  5.79 999 1008.7  14.4  13.7 999.0 99.0 99.00
2011 05 06 19 50  38  1.3  2.3  0.01 99.00  5.89 999 1008.5  12.5  13.4 999.0 99.0 99.00
2011 05 06 20 50  32  1.7  4.0 99.00 99.00 99.00 999 1008.3  13.5  13.5 999.0 99.0 99.00
2011 05 06 21 50  29  2.0  4.1  0.01 99.00  5.37 999 1008.6  11.1  13.0 999.0 99.0 99.00
2011 05 06 22 50  23  2.0  4.4  0.01 99.00  5.91 999 1009.0   9.6  12.6 999.0 99.0 99.00
2011 05 06 23 50  21  1.8  3.6 99.00 99.00 99.00 999 1009.3   7.9  11.9 999.0 99.0 99.00
2011 05 07 00 50  36  3.3  5.0 99.00 99.00 99.00 999 1009.7   8.5  11.5 999.0 99.0 99.00
2011 05 07 01 50  20  2.5  4.3 99.00 99.00 99.00 999 1010.0   8.7  10.8 999.0 99.0 99.00
2011 05 07 02 50  37  3.6  5.3 99.00 99.00 99.00 999 1010.8   6.5  10.0 999.0 99.0 99.00
2011 05 07 03 50  36  2.2  3.7  0.01 99.00  6.10 999 1011.0   6.3   9.3 999.0 99.0 99.00
2011 05 07 04 50  26  1.6  3.1 99.00 99.00 99.00 999 1010.9   7.1   9.0 999.0 99.0 99.00
2011 05 07 05 50  32  1.8  2.7  0.01 99.00  5.28 999 1011.0   6.5   8.7 999.0 99.0 99.00
2011 05 07 06 50  30  1.5  2.7 99.00 99.00 99.00 999 1011.1   5.7   8.4 999.0 99.0 99.00
2011 05 07 07 50  18  1.9  3.2  0.01 99.00  6.06 999 1010.6   6.3   8.0 999.0 99.0 99.00
2011 05 07 08 50  31  1.1  2.8 99.00 99.00 99.00 999 1010.9   6.3   7.9 999.0 99.0 99.00
2011 05 07 09 50  42  1.0  2.2 99.00 99.00 99.00 999 1011.3   5.9   7.8 999.0 99.0 99.00
2011 05 07 10 50  27  1.9  3.6 99.00 99.00 99.00 999 1011.2   6.3   7.5 999.0 99.0 99.00
2011 05 07 11 50  39  1.7  3.5 99.00 99.00 99.00 999 1011.5   6.7   7.5 999.0 99.0 99.00
2011 05 07 12 50  92  1.5  3.3  0.01 99.00  5.44 999 1012.0   5.7   7.5 999.0 99.0 99.00
2011 05 07 13 50  32  1.9  3.9  0.01 99.00  5.17 999 1012.3   5.5   7.4 999.0 99.0 99.00
2011 05 07 14 50  38  2.8  4.4 99.00 99.00 99.00 999 1012.6   6.0   7.7 999.0 99.0 99.00
2011 05 07 15 50  39  2.4  4.3 99.00 99.00 99.00 999 1012.7   6.4   8.2 999.0 99.0 99.00
2011 05 07 16 50  33  3.5  5.5  0.01 99.00  5.60 999 1012.7   6.4   8.6 999.0 99.0 99.00
