#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 21 15 50 225  3.5  3.8  0.40  5.00  4.05 194 1016.8   4.3   2.4 999.0 99.0 99.00
2009 05 21 16 50 239  3.5  4.0  0.36  5.00  4.06 213 1017.0   4.6   2.4 999.0 99.0 99.00
2009 05 21 17 50 246  5.9  6.6  0.34  4.76  4.01 215 1017.6   5.1   2.4 999.0 99.0 99.00
2009 05 21 18 50 236  6.0  7.0  0.36  4.55  3.71 221 1018.0   5.7   2.4 999.0 99.0 99.00
2009 05 21 19 50 222  5.7  6.6  0.41  4.55  3.42 208 1018.7   4.8   2.4 999.0 99.0 99.00
2009 05 21 20 50 231  6.9  7.9  0.48  2.86  3.24 239 1018.8   4.8   2.4 999.0 99.0 99.00
2009 05 21 21 50 220  6.8 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2009 05 21 22 50 218  7.2  8.3  0.68  3.33  3.35 229 1019.5   5.4   2.4 999.0 99.0 99.00
2009 05 21 23 50 224  6.7  7.5  0.69  3.70  3.49 235 1019.9   5.1   2.4 999.0 99.0 99.00
2009 05 22 00 50 236  6.2  7.1  0.70  4.35  3.75 249 1020.3   4.8   2.4 999.0 99.0 99.00
2009 05 22 01 50 329  4.3  4.9  0.61  4.55  3.65 248 1021.7   4.3   2.4 999.0 99.0 99.00
2009 05 22 02 50 348  2.6  3.0  0.56  4.17  3.71 235 1022.7   3.9   2.4 999.0 99.0 99.00
2009 05 22 03 50 354  2.9  3.3  0.48  3.85  3.69 230 1023.5   4.3   2.4 999.0 99.0 99.00
2009 05 22 04 50   2  3.8  4.1  0.41  4.00  3.58 235 1024.2   4.8   2.4 999.0 99.0 99.00
2009 05 22 05 50   8  3.1  3.5  0.38  3.85  3.48 231 1025.0   5.5   2.3 999.0 99.0 99.00
