#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 19 06 50 310  5.2  5.9  0.44  3.57  3.30 309 1003.0   3.6   2.1 999.0 99.0 99.00
2008 05 19 07 50 322  4.7  5.3  0.42  3.57  3.22 298 1003.0   3.6   2.1 999.0 99.0 99.00
2008 05 19 08 50 315  4.6  5.1  0.36  3.85  3.19 213 1003.4   3.4   2.1 999.0 99.0 99.00
2008 05 19 09 50 313  4.4  4.9  0.30  3.45  3.16 221 1003.6   3.2   2.0 999.0 99.0 99.00
2008 05 19 10 50 308  4.7  5.5  0.25  2.86  3.12 339 1003.8   3.1   2.1 999.0 99.0 99.00
2008 05 19 11 50 312  5.5  6.3  0.29  2.56  3.10 218 1004.3   3.2   2.1 999.0 99.0 99.00
2008 05 19 12 50 316  5.6  6.5  0.29  2.56  3.17 213 1004.8   3.1   2.1 999.0 99.0 99.00
2008 05 19 13 50 316  4.6  5.2  0.33  2.63  3.07 218 1005.1   3.1   2.1 999.0 99.0 99.00
2008 05 19 14 50 303  3.5  4.2  0.33  2.78  3.06 298 1004.6   3.1   2.1 999.0 99.0 99.00
2008 05 19 15 50 281  2.4  2.7  0.34  2.86  3.02 301 1004.2   3.2   2.1 999.0 99.0 99.00
2008 05 19 16 50 260  3.8  4.4  0.29  2.86  3.05 299 1003.8   3.6   2.2 999.0 99.0 99.00
2008 05 19 17 50 250  4.4  5.0  0.24  2.78  2.97 293 1003.6   3.9   2.3 999.0 99.0 99.00
2008 05 19 18 50 229  6.0  7.1  0.19  2.63  2.95 236 1003.0   3.5   2.3 999.0 99.0 99.00
2008 05 19 19 50 232  6.7  7.8  0.21  2.50  2.91 221 1003.0   3.5   2.3 999.0 99.0 99.00
2008 05 19 20 50 220  6.7  7.5  0.41  2.94  2.90 232 1002.7   3.6   2.1 999.0 99.0 99.00
2008 05 19 21 50 219  5.9  6.8  0.27  2.70  2.84 225 1002.1   4.3   2.1 999.0 99.0 99.00
2008 05 19 22 50 229  7.6  9.1  0.45  2.94  2.92 226 1001.5   4.7   2.1 999.0 99.0 99.00
2008 05 19 23 50 231  8.2 10.0  0.90  4.00  3.65 237 1001.3   5.1   2.1 999.0 99.0 99.00
2008 05 20 00 50 236  7.7  8.8  0.93  4.17  3.81 235 1001.3   4.8   2.1 999.0 99.0 99.00
2008 05 20 01 50 242  6.6  7.6  1.10  4.76  4.10 241 1001.4   4.3   2.1 999.0 99.0 99.00
2008 05 20 02 50 260  4.8  5.4  0.86  5.00  4.04 249 1001.9   4.0   2.1 999.0 99.0 99.00
2008 05 20 03 50 276  3.7  4.2  0.87  4.55  3.98 250 1001.8   3.5   2.1 999.0 99.0 99.00
2008 05 20 04 50 299  3.9  4.5  0.71  4.55  3.87 248 1001.9   3.9   2.1 999.0 99.0 99.00
2008 05 20 05 50 328  5.0  5.7  0.66  4.35  3.89 243 1001.5   5.1   2.1 999.0 99.0 99.00
2008 05 20 06 50 340  5.1  6.2  0.55  4.35  3.68 235 1001.8   4.7   2.1 999.0 99.0 99.00
2008 05 20 07 50 355  7.3  8.4  0.48  4.00  3.54 237 1001.8   4.7   2.1 999.0 99.0 99.00
2008 05 20 08 50 338  6.5  7.3  0.60  4.35  3.41 234 1002.1   4.0   2.1 999.0 99.0 99.00
2008 05 20 09 50 335  6.6  7.4  0.60  3.03  3.27 321 1002.5   3.6   2.1 999.0 99.0 99.00
2008 05 20 10 50 322  6.3  7.2  0.55  4.35  3.34 235 1002.7   3.5   2.1 999.0 99.0 99.00
